Model,Image_Name,Prompt_Type,Prompt_Text,IoU,F1_Score,Boundary_IoU,GT_Path,Pred_Path
glamm,yong_04,action,the walking masked woman near the center,0.9271,0.9622,0.9791,gt_masks/person/yong_04_person_2.png,results_glamm/person/yong_04_person_2_action_3.png
glamm,yong_04,action,the center walking woman,0.9205,0.9586,0.9763,gt_masks/person/yong_04_person_2.png,results_glamm/person/yong_04_person_2_action_4.png
glamm,yong_04,action,the walking man on the right side,0.9,0.9474,0.9643,gt_masks/person/yong_04_person_3.png,results_glamm/person/yong_04_person_3_action_1.png
glamm,yong_04,spatial,the right-side human figure,0.9056,0.9505,0.9674,gt_masks/person/yong_04_person_3.png,results_glamm/person/yong_04_person_3_spatial_2.png
glamm,yong_05,appearance,the woman in white clothes and dark pants,0.0,0.0,0.0,gt_masks/person/yong_05_person_1.png,results_glamm/person/yong_05_person_1_appearance_1.png
glamm,yong_05,spatial,the cropped human figure,0.0124,0.0245,0.1417,gt_masks/person/yong_05_person_1.png,results_glamm/person/yong_05_person_1_spatial_2.png
glamm,yong_05,spatial,the partially visible woman at the far left edge,0.0,0.0,0.0055,gt_masks/person/yong_05_person_2.png,results_glamm/person/yong_05_person_2_spatial_1.png
glamm,yong_05,spatial,the cropped woman on the left border,0.0,0.0,0.0,gt_masks/person/yong_05_person_2.png,results_glamm/person/yong_05_person_2_spatial_2.png
glamm,yong_06,appearance,the walking man in a black top and light blue jeans,0.938,0.968,0.9628,gt_masks/person/yong_06_person_5.png,results_glamm/person/yong_06_person_5_appearance_1.png
glamm,yong_06,appearance,the visible male figure,0.9403,0.9692,0.9649,gt_masks/person/yong_06_person_5.png,results_glamm/person/yong_06_person_5_appearance_2.png
glamm,yong_06,action,the man walking toward the right side,0.9373,0.9676,0.9618,gt_masks/person/yong_06_person_5.png,results_glamm/person/yong_06_person_5_action_3.png
glamm,yong_06,spatial,the man near the left-center area,0.9369,0.9674,0.9608,gt_masks/person/yong_06_person_5.png,results_glamm/person/yong_06_person_5_spatial_4.png
glamm,yong_06,spatial,the partially visible person at the far left edge,0.0,0.0,0.0567,gt_masks/person/yong_06_person_4.png,results_glamm/person/yong_06_person_4_spatial_1.png
glamm,yong_06,spatial,the cropped person on the left border,0.0,0.0,0.0552,gt_masks/person/yong_06_person_4.png,results_glamm/person/yong_06_person_4_spatial_2.png
glamm,yong_06,spatial,the partially visible woman at the far left edge,0.0,0.0,0.0571,gt_masks/person/yong_06_person_4.png,results_glamm/person/yong_06_person_4_spatial_3.png
glamm,yong_06,spatial,the cropped woman on the left border,0.0,0.0,0.0547,gt_masks/person/yong_06_person_4.png,results_glamm/person/yong_06_person_4_spatial_4.png
glamm,yong_07,appearance,the woman in white clothes and dark pants,0.9432,0.9708,0.9539,gt_masks/person/yong_07_person_1.png,results_glamm/person/yong_07_person_1_appearance_1.png
glamm,yong_07,spatial,the partially visible woman at the far left edge,0.9451,0.9718,0.9584,gt_masks/person/yong_07_person_1.png,results_glamm/person/yong_07_person_1_spatial_2.png
glamm,yong_07,spatial,the cropped woman on the left border,0.94,0.969,0.955,gt_masks/person/yong_07_person_1.png,results_glamm/person/yong_07_person_1_spatial_3.png
glamm,road_01,appearance,the woman in white clothes and dark pants,0.9211,0.959,0.9654,gt_masks/person/road_01_person_1.png,results_glamm/person/road_01_person_1_appearance_1.png
glamm,road_01,action,the woman raising both arms to make a V pose,0.9095,0.9526,0.9606,gt_masks/person/road_01_person_1.png,results_glamm/person/road_01_person_1_action_2.png
glamm,road_01,spatial,the front-facing woman,0.9212,0.959,0.9634,gt_masks/person/road_01_person_1.png,results_glamm/person/road_01_person_1_spatial_3.png
glamm,road_02,appearance,the woman in white clothes and dark pants,0.9172,0.9568,0.9689,gt_masks/person/road_02_person_1.png,results_glamm/person/road_02_person_1_appearance_1.png
glamm,road_02,action,the woman standing and making a V pose with both arms,0.9132,0.9546,0.9682,gt_masks/person/road_02_person_1.png,results_glamm/person/road_02_person_1_action_2.png
glamm,road_02,appearance,the person with messy black hair wearing a black long-sleeve top and light blue jeans,0.9345,0.9662,0.9821,gt_masks/person/road_02_person_2.png,results_glamm/person/road_02_person_2_appearance_1.png
glamm,road_02,spatial,the person on the left side of the center line with their back to the camera,0.9189,0.9578,0.9754,gt_masks/person/road_02_person_2.png,results_glamm/person/road_02_person_2_spatial_2.png
glamm,road_02,action,the person walking or running away,0.9367,0.9673,0.9804,gt_masks/person/road_02_person_2.png,results_glamm/person/road_02_person_2_action_3.png
glamm,road_03,appearance,the woman in white clothes and dark pants,0.9057,0.9505,0.9683,gt_masks/person/road_03_person_1.png,results_glamm/person/road_03_person_1_appearance_1.png
glamm,road_03,action,the smiling woman making a V pose with her right arm raised highest,0.8988,0.9467,0.9703,gt_masks/person/road_03_person_1.png,results_glamm/person/road_03_person_1_action_2.png
glamm,road_03,spatial,the woman slightly turned to the front,0.8963,0.9453,0.9668,gt_masks/person/road_03_person_1.png,results_glamm/person/road_03_person_1_spatial_3.png
glamm,road_03,appearance,the person wearing a black long-sleeve top and light blue jeans,0.8542,0.9214,0.944,gt_masks/person/road_03_person_2.png,results_glamm/person/road_03_person_2_appearance_1.png
glamm,road_03,spatial,the person far away on the left side of the center line,0.8591,0.9242,0.9405,gt_masks/person/road_03_person_2.png,results_glamm/person/road_03_person_2_spatial_2.png
glamm,road_03,action,the person walking towards the camera,0.0,0.0,0.0,gt_masks/person/road_03_person_2.png,results_glamm/person/road_03_person_2_action_3.png
glamm,road_04,appearance,the woman in white clothes and dark pants,0.93,0.9637,0.9741,gt_masks/person/road_04_person_1.png,results_glamm/person/road_04_person_1_appearance_1.png
glamm,road_04,action,the woman with her left arm slightly bent,0.9415,0.9699,0.9749,gt_masks/person/road_04_person_1.png,results_glamm/person/road_04_person_1_action_2.png
glamm,road_04,spatial,the woman turned towards the back-left showing her side and back,0.5522,0.7115,0.5972,gt_masks/person/road_04_person_1.png,results_glamm/person/road_04_person_1_spatial_3.png
glamm,road_04,appearance,the person with dark hair wearing a light long-sleeve top and loose dark pants,0.8751,0.9334,0.9621,gt_masks/person/road_04_person_3.png,results_glamm/person/road_04_person_3_appearance_1.png
glamm,road_04,spatial,the person on the left side of the center line with their back to the camera,0.8749,0.9333,0.9636,gt_masks/person/road_04_person_3.png,results_glamm/person/road_04_person_3_spatial_2.png
glamm,road_04,action,the person running forward,0.5135,0.6785,0.4125,gt_masks/person/road_04_person_3.png,results_glamm/person/road_04_person_3_action_3.png
glamm,road_04,appearance,the person in a black long-sleeve top and light blue jeans,0.9367,0.9673,0.9763,gt_masks/person/road_04_person_2.png,results_glamm/person/road_04_person_2_appearance_1.png
glamm,road_04,spatial,the person on the right edge near the bushes,0.9412,0.9697,0.982,gt_masks/person/road_04_person_2.png,results_glamm/person/road_04_person_2_spatial_2.png
glamm,road_04,action,the person walking inwards in side view,0.0028,0.0056,0.1029,gt_masks/person/road_04_person_2.png,results_glamm/person/road_04_person_2_action_3.png
glamm,road_05,appearance,the woman in white clothes and dark pants,0.7894,0.8823,0.6219,gt_masks/person/road_05_person_1.png,results_glamm/person/road_05_person_1_appearance_1.png
glamm,road_05,action,the smiling woman raising one hand above her head,0.8938,0.9439,0.9519,gt_masks/person/road_05_person_1.png,results_glamm/person/road_05_person_1_action_2.png
glamm,road_05,spatial,the woman facing the camera,0.9054,0.9503,0.9587,gt_masks/person/road_05_person_1.png,results_glamm/person/road_05_person_1_spatial_3.png
glamm,road_05,appearance,"the person with dark hair wearing a light long-sleeve top, loose dark pants, and a mask",0.9313,0.9644,0.981,gt_masks/person/road_05_person_3.png,results_glamm/person/road_05_person_3_appearance_1.png
glamm,road_05,action,the person lightly running or walking towards the camera,0.0,0.0,0.0,gt_masks/person/road_05_person_3.png,results_glamm/person/road_05_person_3_action_2.png
glamm,road_06,appearance,the woman in white clothes and dark pants,0.9398,0.9689,0.9609,gt_masks/person/road_06_person_1.png,results_glamm/person/road_06_person_1_appearance_1.png
glamm,road_06,action,the woman looking up at the trees and sky with both arms down,0.9417,0.97,0.9617,gt_masks/person/road_06_person_1.png,results_glamm/person/road_06_person_1_action_2.png
glamm,road_06,appearance,the person wearing brown pants,0.929,0.9632,0.5884,gt_masks/person/road_06_person_3.png,results_glamm/person/road_06_person_3_appearance_1.png
glamm,road_06,spatial,the partially visible person at the far left edge,0.2455,0.3943,0.2663,gt_masks/person/road_06_person_3.png,results_glamm/person/road_06_person_3_spatial_2.png
glamm,road_06,appearance,the person wearing a dark top and light pants,0.0,0.0,0.0,gt_masks/person/road_06_person_2.png,results_glamm/person/road_06_person_2_appearance_1.png
glamm,road_06,action,the person walking along the road,0.0,0.0,0.0,gt_masks/person/road_06_person_2.png,results_glamm/person/road_06_person_2_action_2.png
glamm,road_07,appearance,the woman in white clothes and dark pants,0.9088,0.9522,0.9634,gt_masks/person/road_07_person_1.png,results_glamm/person/road_07_person_1_appearance_1.png
glamm,road_07,action,the front-facing woman with arms spread wide to the sides,0.9077,0.9516,0.9632,gt_masks/person/road_07_person_1.png,results_glamm/person/road_07_person_1_action_2.png
glamm,road_07,appearance,"the person wearing a light shirt, dark pants, and a black bag",0.9071,0.9513,0.8179,gt_masks/person/road_07_person_4.png,results_glamm/person/road_07_person_4_appearance_1.png
glamm,road_07,spatial,the person with their back to the camera,0.0522,0.0992,0.2167,gt_masks/person/road_07_person_4.png,results_glamm/person/road_07_person_4_spatial_2.png
glamm,road_07,action,the person walking away,0.9301,0.9638,0.8531,gt_masks/person/road_07_person_4.png,results_glamm/person/road_07_person_4_action_3.png
glamm,road_07,appearance,the person wearing a dark top and dark bottom,0.0046,0.0092,0.173,gt_masks/person/road_07_person_5.png,results_glamm/person/road_07_person_5_appearance_1.png
glamm,road_07,spatial,the person in back view,0.0119,0.0234,0.2066,gt_masks/person/road_07_person_5.png,results_glamm/person/road_07_person_5_spatial_2.png
glamm,road_07,action,the person walking away from the camera,0.0,0.0,0.05,gt_masks/person/road_07_person_5.png,results_glamm/person/road_07_person_5_action_3.png
glamm,road_08,appearance,the woman in white clothes and dark pants,0.934,0.9659,0.9526,gt_masks/person/road_08_person_1.png,results_glamm/person/road_08_person_1_appearance_1.png
glamm,road_08,action,the front-facing woman raising her left hand to flip her hair,0.9306,0.9641,0.9493,gt_masks/person/road_08_person_1.png,results_glamm/person/road_08_person_1_action_2.png
glamm,road_08,spatial,the person in back view,0.0001,0.0002,0.0947,gt_masks/person/road_08_person_4.png,results_glamm/person/road_08_person_4_spatial_1.png
glamm,road_08,action,the person walking away along the road,0.8672,0.9289,0.9562,gt_masks/person/road_08_person_4.png,results_glamm/person/road_08_person_4_action_2.png
glamm,road_08,appearance,the person wearing a light top and dark bottom,0.0,0.0,0.0569,gt_masks/person/road_08_person_4.png,results_glamm/person/road_08_person_4_appearance_3.png
glamm,road_08,spatial,the person in back view,0.0001,0.0002,0.0947,gt_masks/person/road_08_person_4.png,results_glamm/person/road_08_person_4_spatial_4.png
glamm,road_08,action,the person walking away,0.857,0.923,0.9603,gt_masks/person/road_08_person_4.png,results_glamm/person/road_08_person_4_action_5.png
glamm,road_09,spatial,the person in back view,0.8738,0.9327,0.9854,gt_masks/person/road_09_person_4.png,results_glamm/person/road_09_person_4_spatial_1.png
glamm,road_09,action,the person walking away,0.8782,0.9352,0.9802,gt_masks/person/road_09_person_4.png,results_glamm/person/road_09_person_4_action_2.png
glamm,road_09,spatial,the farthest person in back view,0.8744,0.933,0.9806,gt_masks/person/road_09_person_4.png,results_glamm/person/road_09_person_4_spatial_3.png
glamm,road_09,action,the person walking away along the road,0.8802,0.9363,0.98,gt_masks/person/road_09_person_4.png,results_glamm/person/road_09_person_4_action_4.png
glamm,road_10,appearance,the motorcyclist with a delivery box,0.2477,0.397,0.4355,gt_masks/person/road_10_person_6.png,results_glamm/person/road_10_person_6_appearance_1.png
glamm,road_10,spatial,the motorcyclist on the center-left,0.2303,0.3743,0.4321,gt_masks/person/road_10_person_6.png,results_glamm/person/road_10_person_6_spatial_2.png
glamm,road_10,action,the motorcyclist riding downhill,0.2361,0.3819,0.4349,gt_masks/person/road_10_person_6.png,results_glamm/person/road_10_person_6_action_3.png
glamm,road_10,spatial,the person far away in back view,0.0294,0.0571,0.1838,gt_masks/person/road_10_person_5.png,results_glamm/person/road_10_person_5_spatial_1.png
glamm,road_11,appearance,the motorcyclist with a delivery box,0.9221,0.9595,0.9727,gt_masks/person/road_11_person_6.png,results_glamm/person/road_11_person_6_appearance_1.png
glamm,road_11,spatial,the motorcyclist in the center of the road,0.9214,0.9591,0.9732,gt_masks/person/road_11_person_6.png,results_glamm/person/road_11_person_6_spatial_2.png
glamm,road_11,action,the motorcyclist riding downhill,0.9103,0.953,0.9659,gt_masks/person/road_11_person_6.png,results_glamm/person/road_11_person_6_action_3.png
glamm,road_12,spatial,the person in back view,0.9148,0.9555,0.9629,gt_masks/person/road_12_person_7.png,results_glamm/person/road_12_person_7_spatial_1.png
glamm,road_12,action,the walking person,0.9267,0.962,0.9758,gt_masks/person/road_12_person_7.png,results_glamm/person/road_12_person_7_action_2.png
glamm,statue_01,action,the person making V-sign hand gestures,0.9489,0.9738,0.9626,gt_masks/person/statue_01_person_1.png,results_glamm/person/statue_01_person_1_action_1.png
glamm,statue_01,appearance,the person wearing a white long-sleeved cardigan,0.9493,0.974,0.9611,gt_masks/person/statue_01_person_1.png,results_glamm/person/statue_01_person_1_appearance_2.png
glamm,statue_01,spatial,the person in a full-body standing posture,0.952,0.9754,0.9638,gt_masks/person/statue_01_person_1.png,results_glamm/person/statue_01_person_1_spatial_3.png
glamm,statue_02,appearance,the person with long straight black hair,0.9009,0.9479,0.7025,gt_masks/person/statue_02_person_1.png,results_glamm/person/statue_02_person_1_appearance_1.png
glamm,statue_02,action,the person making dual V-sign hand gestures,0.9557,0.9773,0.9588,gt_masks/person/statue_02_person_1.png,results_glamm/person/statue_02_person_1_action_2.png
glamm,statue_02,appearance,the person with short black hair,0.9564,0.9777,0.9749,gt_masks/person/statue_02_person_2.png,results_glamm/person/statue_02_person_2_appearance_1.png
glamm,statue_02,appearance,the person wearing a black long-sleeved sweater,0.9503,0.9745,0.9728,gt_masks/person/statue_02_person_2.png,results_glamm/person/statue_02_person_2_appearance_2.png
glamm,statue_03,appearance,the person with long straight black hair,0.9502,0.9745,0.9518,gt_masks/person/statue_03_person_1.png,results_glamm/person/statue_03_person_1_appearance_1.png
glamm,statue_03,action,the person making dual V-sign hand gestures,0.9514,0.9751,0.9614,gt_masks/person/statue_03_person_1.png,results_glamm/person/statue_03_person_1_action_2.png
glamm,statue_03,appearance,a partial limb and foot wearing a white sneaker,0.8991,0.9469,0.9777,gt_masks/person/statue_03_person_2.png,results_glamm/person/statue_03_person_2_appearance_1.png
glamm,statue_04,action,the person making V-sign hand gestures,0.9508,0.9748,0.9637,gt_masks/person/statue_04_person_1.png,results_glamm/person/statue_04_person_1_action_1.png
glamm,statue_04,appearance,the person wearing a white long-sleeved cardigan,0.956,0.9775,0.9639,gt_masks/person/statue_04_person_1.png,results_glamm/person/statue_04_person_1_appearance_2.png
glamm,statue_04,spatial,the person with long brown hair seen from the back,0.9579,0.9785,0.8239,gt_masks/person/statue_04_person_3.png,results_glamm/person/statue_04_person_3_spatial_1.png
glamm,statue_04,appearance,the person wearing a beige or light pink long-sleeved top,0.9584,0.9787,0.8239,gt_masks/person/statue_04_person_3.png,results_glamm/person/statue_04_person_3_appearance_2.png
glamm,statue_05,spatial,the partially occluded person,0.0556,0.1053,0.5141,gt_masks/person/statue_05_person_3.png,results_glamm/person/statue_05_person_3_spatial_1.png
glamm,statue_05,spatial,the person with long brown hair visible behind the main subject's head,0.2149,0.3538,0.5527,gt_masks/person/statue_05_person_3.png,results_glamm/person/statue_05_person_3_spatial_2.png
glamm,statue_06,appearance,close-up hand segments are blurring into the lens,0.9412,0.9697,0.9507,gt_masks/person/statue_06_person_4.png,results_glamm/person/statue_06_person_4_appearance_1.png
glamm,statue_06,spatial,a finger on the left side of the screen,0.9424,0.9704,0.9543,gt_masks/person/statue_06_person_4.png,results_glamm/person/statue_06_person_4_spatial_2.png
glamm,statue_07,spatial,the person in a full-body standing posture,0.9657,0.9825,0.9514,gt_masks/person/statue_07_person_1.png,results_glamm/person/statue_07_person_1_spatial_1.png
glamm,statue_07,action,the young woman holding a smartphone in her right hand,0.9622,0.9807,0.9485,gt_masks/person/statue_07_person_1.png,results_glamm/person/statue_07_person_1_action_2.png
glamm,statue_07,appearance,the woman wearing a white long-sleeved cardigan,0.964,0.9817,0.9504,gt_masks/person/statue_07_person_1.png,results_glamm/person/statue_07_person_1_appearance_3.png
glamm,statue_07,appearance,a blurry skin-toned artifact in the upper-left corner,0.3459,0.514,0.3216,gt_masks/person/statue_07_person_4.png,results_glamm/person/statue_07_person_4_appearance_1.png
glamm,statue_07,spatial,out-of-focus fingertip or hand segment is encroaching from the top-left edge,0.3781,0.5487,0.1872,gt_masks/person/statue_07_person_4.png,results_glamm/person/statue_07_person_4_spatial_2.png
glamm,statue_08,action,the young woman holding a smartphone in her right hand,0.9574,0.9782,0.9479,gt_masks/person/statue_08_person_1.png,results_glamm/person/statue_08_person_1_action_1.png
glamm,statue_08,appearance,the woman wearing a white long-sleeved cardigan,0.9538,0.9763,0.9443,gt_masks/person/statue_08_person_1.png,results_glamm/person/statue_08_person_1_appearance_2.png
glamm,statue_09,spatial,the woman in an upper body shot,0.9582,0.9786,0.8823,gt_masks/person/statue_09_person_1.png,results_glamm/person/statue_09_person_1_spatial_1.png
glamm,statue_09,appearance,the woman with long straight black hair,0.9596,0.9794,0.8896,gt_masks/person/statue_09_person_1.png,results_glamm/person/statue_09_person_1_appearance_2.png
glamm,statue_09,appearance,the woman wearing a white long-sleeved cardigan,0.9634,0.9814,0.8884,gt_masks/person/statue_09_person_1.png,results_glamm/person/statue_09_person_1_appearance_3.png
glamm,statue_10,spatial,"the woman in a full-body shot, positioned in the lower-left foreground",0.9228,0.9599,0.945,gt_masks/person/statue_10_person_1.png,results_glamm/person/statue_10_person_1_spatial_1.png
glamm,statue_10,appearance,the woman with long straight black hair,0.9392,0.9686,0.9575,gt_masks/person/statue_10_person_1.png,results_glamm/person/statue_10_person_1_appearance_2.png
glamm,statue_10,appearance,the woman wearing a white long-sleeved cardigan,0.9309,0.9642,0.9521,gt_masks/person/statue_10_person_1.png,results_glamm/person/statue_10_person_1_appearance_3.png
glamm,statue_10,spatial,"the woman standing on a wide, light-colored tiled plaza",0.9341,0.9659,0.9528,gt_masks/person/statue_10_person_1.png,results_glamm/person/statue_10_person_1_spatial_4.png
glamm,field_01,spatial,the woman in the central foreground,0.9532,0.9761,0.9645,gt_masks/person/field_01_person_1.png,results_glamm/person/field_01_person_1_spatial_1.png
glamm,field_01,appearance,the woman in white top and grey flare jeans,0.9609,0.9801,0.9701,gt_masks/person/field_01_person_1.png,results_glamm/person/field_01_person_1_appearance_2.png
glamm,field_01,action,the woman standing still and smiling,0.9581,0.9786,0.9671,gt_masks/person/field_01_person_1.png,results_glamm/person/field_01_person_1_action_3.png
glamm,field_01,spatial,the background figure on the right side,0.9013,0.9481,0.9697,gt_masks/person/field_01_person_2.png,results_glamm/person/field_01_person_2_spatial_1.png
glamm,field_01,appearance,the woman in beige top and brown pants,0.902,0.9485,0.9692,gt_masks/person/field_01_person_2.png,results_glamm/person/field_01_person_2_appearance_2.png
glamm,field_01,action,the woman walking across the field,0.9392,0.9686,0.9787,gt_masks/person/field_01_person_2.png,results_glamm/person/field_01_person_2_action_3.png
glamm,field_02,spatial,the central figure facing the camera,0.9607,0.9799,0.9655,gt_masks/person/field_02_person_1.png,results_glamm/person/field_02_person_1_spatial_1.png
glamm,field_02,appearance,the woman in a white button-down shirt,0.9611,0.9802,0.966,gt_masks/person/field_02_person_1.png,results_glamm/person/field_02_person_1_appearance_2.png
glamm,field_02,action,the woman standing with a neutral expression,0.9615,0.9804,0.966,gt_masks/person/field_02_person_1.png,results_glamm/person/field_02_person_1_action_3.png
glamm,field_02,spatial,the person in the middle ground on the left,0.8689,0.9298,0.966,gt_masks/person/field_02_person_2.png,results_glamm/person/field_02_person_2_spatial_1.png
glamm,field_02,appearance,the woman with long hair in partial profile,0.0237,0.0463,0.2656,gt_masks/person/field_02_person_2.png,results_glamm/person/field_02_person_2_appearance_2.png
glamm,field_02,action,the woman walking away from the camera,0.8333,0.909,0.7853,gt_masks/person/field_02_person_2.png,results_glamm/person/field_02_person_2_action_3.png
glamm,field_03,spatial,the woman in the center of the turf,0.931,0.9643,0.95,gt_masks/person/field_03_person_1.png,results_glamm/person/field_03_person_1_spatial_1.png
glamm,field_03,appearance,the woman with long hair flowing down,0.9509,0.9748,0.9672,gt_masks/person/field_03_person_1.png,results_glamm/person/field_03_person_1_appearance_2.png
glamm,field_03,action,the woman shielding her eyes with her hand,0.943,0.9707,0.9614,gt_masks/person/field_03_person_1.png,results_glamm/person/field_03_person_1_action_3.png
glamm,field_05,spatial,the woman on the far-left edge,0.9695,0.9845,0.9743,gt_masks/person/field_05_person_3.png,results_glamm/person/field_05_person_3_spatial_1.png
glamm,field_05,appearance,the observer in a light light blue cardigan,0.0,0.0,0.0,gt_masks/person/field_05_person_3.png,results_glamm/person/field_05_person_3_appearance_2.png
glamm,field_05,spatial,the young man in the center-left,0.9469,0.9727,0.9674,gt_masks/person/field_05_person_4.png,results_glamm/person/field_05_person_4_spatial_1.png
glamm,field_05,appearance,the man in a black sweatshirt and jeans,0.943,0.9707,0.9702,gt_masks/person/field_05_person_4.png,results_glamm/person/field_05_person_4_appearance_2.png
glamm,field_05,spatial,the seated woman in the foreground,0.9562,0.9776,0.963,gt_masks/person/field_05_person_1.png,results_glamm/person/field_05_person_1_spatial_1.png
glamm,field_05,action,the woman making a V sign with her hand,0.9664,0.9829,0.8891,gt_masks/person/field_05_person_1.png,results_glamm/person/field_05_person_1_action_2.png
glamm,field_06,spatial,the woman sitting in the foreground,0.9604,0.9798,0.8924,gt_masks/person/field_06_person_1.png,results_glamm/person/field_06_person_1_spatial_1.png
glamm,field_06,appearance,the woman in white knit and charcoal jeans,0.0075,0.0149,0.2436,gt_masks/person/field_06_person_1.png,results_glamm/person/field_06_person_1_appearance_2.png
glamm,field_06,action,the woman tilting her head with a smile,0.963,0.9812,0.9673,gt_masks/person/field_06_person_1.png,results_glamm/person/field_06_person_1_action_3.png
glamm,field_06,spatial,the masked figure standing directly behind,0.9412,0.9697,0.9569,gt_masks/person/field_06_person_2.png,results_glamm/person/field_06_person_2_spatial_1.png
glamm,field_06,appearance,the woman in a tan sweatshirt and brown pants,0.9387,0.9684,0.9564,gt_masks/person/field_06_person_2.png,results_glamm/person/field_06_person_2_appearance_2.png
glamm,field_06,action,the woman shielding her forehead,0.9456,0.9721,0.9573,gt_masks/person/field_06_person_2.png,results_glamm/person/field_06_person_2_action_3.png
glamm,field_07,spatial,the figure at the bottom-center,0.9625,0.9809,0.909,gt_masks/person/field_07_person_1.png,results_glamm/person/field_07_person_1_spatial_1.png
glamm,field_07,appearance,the woman with hair covering her face,0.9651,0.9823,0.9228,gt_masks/person/field_07_person_1.png,results_glamm/person/field_07_person_1_appearance_2.png
glamm,field_07,action,the woman moving her upper body quickly,0.0105,0.0207,0.182,gt_masks/person/field_07_person_1.png,results_glamm/person/field_07_person_1_action_3.png
glamm,field_07,spatial,the person in the middle ground behind,0.0055,0.0109,0.1896,gt_masks/person/field_07_person_2.png,results_glamm/person/field_07_person_2_spatial_1.png
glamm,field_07,appearance,the masked woman in a beige sweatshirt,0.9149,0.9555,0.9058,gt_masks/person/field_07_person_2.png,results_glamm/person/field_07_person_2_appearance_2.png
glamm,field_07,action,the woman in a mock-fighting stance,0.9172,0.9568,0.9115,gt_masks/person/field_07_person_2.png,results_glamm/person/field_07_person_2_action_3.png
glamm,field_08,spatial,"half-visible person at left edge, cropped view.",0.9144,0.9553,0.8715,gt_masks/person/field_08_person_2.png,results_glamm/person/field_08_person_2_spatial_1.png
